DIRECTORID	NAME	TITLES
nm0049995	Ruth Ann Baldwin	'49-'17
nm0854976	Daisuke Tengan	13 Assassins, Audition, Kurai tokoro de machiawase
nm1736326	Davy Rothbart	17 Blocks, Easier with Practice, Medora
nm4536380	Mariam Abu Ouf	18 Days, Perfect Strangers
nm3635623	Kohl Harrington	2012, Hugo, Pet Fooled
nm1736524	Stephen Ford	2020: A 1917 Parody
nm0205014	Lee Davis	3 A.M.
nm15622037	Horse Babu	36 China Town
nm0909547	Baillie Walsh	4.3.2.1., Nowhere Boy
nm6125824	Dee Poon	42 One Dream Rush
nm2027066	Theo Davies	5 Hour Friends, Wish Man
nm4712424	Kawita Sareen	50 Kisses
nm2815858	Zachary Edgerton	60 Seconds to Di3
nm0110293	Gaëtan Brizzi	9, Astro Boy, Fantasia 2000, The Hunchback of Notre Dame
nm0263912	Hanns Heinz Ewers	A Daughter of Destiny, The Student of Prague
nm3942723	Jason Mac	A Father's Legacy
nm0478172	Karsten Kiilerich	A Fish Tale
nm0849011	Kinuyo Tanaka	A Hen in the Wind, Sandakan No. 8, The Life of Oharu
nm1426188	Mohsen Tanabandeh	A Hero, World War III
nm0460127	André Klotzel	A Marvada Carne, Memórias Póstumas de Brás Cubas, Reflections of a Blender
nm3094978	Srdjan Spasojevic	A Serbian Film, The ABCs of Death
nm0412999	Dariusz Jablonski	A Short Film About Love, Fotoamator, Sekal Has to Die, Wino truskawkowe
nm0001415	Elia Kazan	A Streetcar Named Desire, America America, East of Eden, On the Waterfront
nm0544055	Henriette Mantel	A Very Brady Sequel, Grown Ups, Sex and the City, The Brady Bunch Movie
nm8088562	Lloyd Staszkiewicz	ABCs of Death 2.5
nm1685252	Ramana	Aathi
nm2423397	Elizabeth Ito	Adventure Time, Astro Boy
nm2913570	Diana Lafyatis	Adventure Time
nm0001162	Griffin Dunne	After Hours, An American Werewolf in London, Dallas Buyers Club, Movie 43
nm0003572	William Olsen	After School, Getting It On
nm3293356	Elad Keidan	Afterthought
nm0614130	Brianne Murphy	Agent for H.A.R.M.
nm15432988	Rahul Kamboj	Ajeeb Daastaans
nm0150749	Eric Champnella	Alex & Me, Mr. 3000, Thunderstruck
nm0773985	Rick Calabash	Alice in Wonderland, Charlie and the Chocolate Factory, The Zero Theorem
nm2756180	George D. Escobar	Alone Yet Not Alone, Come What May, The Farmer and the Belle: Saving Santaland
nm0261528	Luis Esteban	Alpha Dog, Soul Plane
nm1729104	Bruno Forzani	Amer, Let the Corpses Tan, The ABCs of Death, The Strange Color of Your Body's Tears
nm1818500	Calum Waddell	American Grindhouse
nm0139036	Ana Carolina	Amélia, Sea of Roses
nm0316539	Cedric Gibbons	An American in Paris, Gaslight, The Bad and the Beautiful, The Wizard of Oz
nm6750289	Maria Torres	Anonymously Yours
nm0932302	Dave Willis	Aqua Teen Hunger Force Colon Movie Film for Theaters
nm4919356	Ashley Joiner	Are You Proud?
nm2965276	Devin Crittenden	Arranged Love, Chasing Mavericks
nm0042006	Scott Aukerman	Austin Powers in Goldmember, Between Two Ferns: The Movie, Run Ronnie Run
nm0060114	Tamara Bass	Baby Boy, If Not Now, When?
nm2060660	Josep Maria Domènech	Balseros
nm0524900	Dariela Ludlow Deloya	Bandidas, The Air I Breathe, Un día menos
nm3486401	Paul Gerrard	Battle Los Angeles, Dungeons & Dragons: Honor Among Thieves, Robin Hood, The Stranger
nm0674919	Sue Perrotto	Beavis and Butt-Head Do America
nm0375477	Jerome Hellman	Being There, Coming Home, Midnight Cowboy, The Mosquito Coast
nm2802013	Michael Penning	Bikini Girls on Ice, The Legend of Sorrow Creek
nm0909853	Sean Walsh	Bloom
nm0791542	Eldar Shengelaia	Blue Mountains, or Unbelievable Story
nm0000368	Laura Dern	Blue Velvet, Jurassic Park, Marriage Story, Wild
nm0244756	Richard Dutcher	Brigham City, Evil Angel, God's Army
nm1249945	Shaad Ali	Bunty Aur Babli, Soorma
nm0000829	Stuart Baird	Casino Royale, Skyfall, Star Trek: Nemesis, Superman
nm2268014	Ayumu Watanabe	Children of the Sea, Fortune Favors Lady Nikuko
nm1192521	Suzanne Raes	Close to Vermeer
nm0464945	Marek Kondrat	Day of the Wacko, Prawo ojca, Pulkownik Kwiatkowski, Wszyscy jestesmy Chrystusami
nm0070644	Carmelo Bene	Don Giovanni, Nostra signora dei turchi, Salome
nm12417381	Raphaël Meyssan	Les damnés de la Commune
nm0884547	Tonino Valerii	A Girl Called Jules, My Name Is Nobody, Sahara Cross
nm0563520	Francesco Mazzei	A Girl Called Jules, Il sergente Klems, L'arma l'ora il movente
nm0476990	Leonid Kvinikhidze	A Golden-coloured Straw Hat, Heavenly Swallows
nm0366096	Kara Harshbarger	A Little Inside, Clay Pigeons, Paulie
nm3127108	Christoffer Nordenrot	A Man Called Ove, The Unthinkable
nm3616670	Aya Koretzky	A Volta ao Mundo Quando Tinhas 30 Anos
nm0631860	Elena Nikolaeva	Aborigen, Vanechka
nm0948572	Christine Yoo	Afro Samurai, Wedding Palace
nm1396561	Jeff Cheung	Agent Mr. Chan, Drug War, Fist of Legend, Life Without Principle
nm0061608	Luigi Batzella	Agguato sul Bosforo, Anche per Django le carogne hanno un prezzo
nm0000116	James Cameron	Aliens, Avatar, Avatar: The Way of Water, Terminator 2: Judgment Day
nm4796756	Nadine Mundo	American Commune
nm0448311	Rory Kennedy	American Hollow, Ethel, Ghosts of Abu Ghraib, Last Days in Vietnam
nm2924350	Adina Pintilie	An American Haunting, Touch Me Not
nm0582614	Barnaby Metschurat	Anatomy 2, Hey Bunny, Race, The Spanish Apartment
nm2244239	Craig Viveiros	And Then There Were None
nm1025280	Anubhav Sinha	Anek, Article 15, Ra.One, Thappad
nm0215286	Maurice Dekkers	Ants on a Shrimp
nm0178193	Kevin Cooper	Armageddon, Men of Honor, Secondhand Lions
nm9403470	Alberto Arnaut Estrada	Armed to the Teeth
nm0005774	Pierre Lhomme	Army of Shadows, Camille Claudel, Cyrano de Bergerac, Maurice
nm0000048	Peter Lorre	Arsenic and Old Lace, Casablanca, M, The Maltese Falcon
nm4975337	Moon Hyun-sung	As One, Seoul Vibe, The King's Case Note
nm0477213	Chi-Kin Kwok	As the Light Goes Out, Gallants, Journey to the West: Conquering the Demons
nm0504899	Tony Ka Fai Leung	Ashes of Time, Election, The Lover
nm0002010	Christian Clavier	Asterix & Obelix: Mission Cleopatra, Asterix and Obelix vs. Caesar, Just Visiting, The Visitors
nm1193899	Kris Booth	At Home by Myself... with You
nm2242984	Tetsuya Wakano	Attack on Titan
nm1415801	Jerusha Hess	Austenland, Nacho Libre, Napoleon Dynamite
nm0668551	Bárbara Paz	Babenco: Tell Me When I Die, My Hindu Friend
nm0355790	Kenneth J. Hall	Baby Geniuses, Critters, The Halfway House, Willy's Wonderland
nm0744480	Franco Rosso	Babylon, Kes
nm7222062	Yanyong Kuruangkura	Back to the 90s
nm4568626	Samantha Lee	Baka bukas
nm0602206	Maryam Moghadam	Ballad of a White Cow, Risk of Acid Rain
nm0631068	Karin Nilsson	Bamse and the Thief City, Felidae, Lilla spöket Laban, The Jungle Creature: Hugo
nm0376101	David Hemmings	Barbarella, Blow-Up, Deep Red, Gladiator
nm0573084	Terry McMahon	Batman Begins, Patrick's Day
nm5762091	Valdimar Jóhannsson	Batman Begins, Lamb, Oblivion, Transformers: Age of Extinction
nm0596571	Rafael Moleón	Baton Rouge
nm3633004	Eun-kyung Jo	Be with Me
nm3482115	Ed Charles	Bear Witness
nm1257235	Magnus Gertten	Becoming Zlatan ...
nm3210041	Abel Vang	Bedeviled, They Live in the Grey, What Lies Below
nm0876506	Vladimir Tumaev	Belyy yagel
nm1715497	J.J. Alani	Beyond Paradise
nm0548362	Russ Marker	Beyond the Time Barrier, The Yesterday Machine
nm0191712	R.J. Cutler	Billie Eilish: The World's a Little Blurry, The September Issue
nm1627732	Tenacious D	Bio-Dome, Tenacious D in the Pick of Destiny, Tenacious D: Post-Apocalypto, The Croods: A New Age
nm3515833	Adam Berg	Black Crab
nm1247462	Christopher Smith	Black Death, Creep, Severance, Triangle
nm3497906	Mike Ambs	Blank: A Vinylmation Love Story
nm4664031	Michael J. Epstein	Blood of the Tribades
nm2210032	Mari-Lynn C. Evans	Blood on the Mountain
nm1121230	Trish Dolman	Bones of Crows, Eco-Pirate: The Story of Paul Watson, Flower & Garnet, Hector and the Search for Happiness
nm3247772	Drew Bolduc	Borat Subsequent Moviefilm, The Taint
