DIRECTORID|NAME|RESPOSTA|STATUS
nm0049995|Ruth Ann Baldwin|"{""IMDb_ID"":""nm0049995"",""Name"":""RUTH ANN BALDWIN"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm0854976|Daisuke Tengan|"{""IMDb_ID"":""nm0854976"",""Name"":""DAISUKE TENGAN"",""Birthday"":""1959-06-16"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""JPN"",""Birthplace"":""TOKYO, TOKYO, JPN"",""Religion"":""NO RELIGION"",""Ethnicity"":""JAPANESE""}"|success
nm1736326|Davy Rothbart|"{""IMDb_ID"":""nm1736326"",""Name"":""DAVY ROTHBART"",""Birthday"":""1976-01-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""ANN ARBOR, MICHIGAN, USA"",""Religion"":""JUDAISM"",""Ethnicity"":""ASHKENAZI JEWISH-AMERICAN""}"|success
nm4536380|Mariam Abu Ouf|"{""IMDb_ID"":""nm4536380"",""Name"":""MARIAM ABU OUF"",""Birthday"":""1971-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""EGY"",""Birthplace"":""CAIRO, EGYPT"",""Religion"":""ISLAM"",""Ethnicity"":""EGYPTIAN""}"|success
nm3635623|Kohl Harrington|"{""IMDb_ID"":""nm3635623"",""Name"":""KOHL HARRINGTON"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""Unk"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""Unk""}"|success
nm1736524|Stephen Ford|"{""IMDb_ID"":""nm1736524"",""Name"":""STEPHEN FORD"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Nown""}"|success
nm0205014|Lee Davis|"{""IMDb_ID"":""nm0205014"",""Name"":""LEE DAVIS"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm15622037|Horse Babu|"{""IMDb_ID"":""nm15622037"",""Name"":""HORSE BABU"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""UNKNOWN"",""Religion"":""ISLAM"",""Ethnicity"":""INDIAN""}"|success
nm0909547|Baillie Walsh|"{""IMDb_ID"":""nm0909547"",""Name"":""BAILLIE WALSH"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
nm6125824|Dee Poon|"{""IMDb_ID"":""nm6125824"",""Name"":""DEE POON"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""HKG"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""CHINESE""}"|success
