WRITERID	NAME	TITLES
nm6649721	Seung-Hwan Lee	11 A.M.
nm0950506	Jessica Yu	13 Reasons Why, Maria Bamford: Old Baby
nm3808515	Daniel Moya	18½
nm0133781	Kamna Chandra	1942: A Love Story, Qarib Qarib Single
nm15605568	Zeb Walters	1: Nenokkadine
nm1450132	Jan Holoubek	25 Years of Innocence
nm2177308	Kearen Pang	29 + 1, Mama's Affair, You Shoot, I Shoot
nm3192778	Betina Ip	3/4
nm5731579	Kathryn Robson	31, Circus of Books, Shangri-La Suite
nm1490232	Jeffrey De Serrano	36 Saints, Cloverfield, Elizabethtown, Surrogates
nm15572565	Sanjay	36 Vayadhinile
nm0394114	Ben Hopkins	37 Uses for a Dead Sheep, Pazar - Bir Ticaret Masali, Simon Magus
nm1709239	Jesse Stratton	37: A Final Promise
nm0036654	Toby Tobias	4.3.2.1., Blood Orange, Spice World
nm1519079	Guy Davidi	5 Broken Cameras
nm3649361	David Battle	5 Days of War
nm5443959	Mark Jones	50 Kisses
nm5627274	Christopher Bacon	50 Kisses
nm0915814	Blayne Weaver	6 Month Rule, Outside Sales, Weather Girl
nm8003516	Jose Cabeza	7 Years
nm1876695	Gregorio Morán	7 días de enero, Dead City
nm8774143	Jose Marti	79 primaveras, Dieu seul me voit
nm0700355	Giuseppe Pulieri	A Black Ribbon for Deborah, Hot Stuff, Silence the Witness
nm0004929	Dave Foley	A Bug's Life, Blast from the Past, The Wrong Guy
nm0394633	Paul Horgan	A Distant Trumpet
nm2438654	Liang Ying	A Family Tour, Taking Father Home, The Other Half
nm0815070	Aaron Sorkin	A Few Good Men, Molly's Game, The Trial of the Chicago 7
nm1202109	Tracy J. Brown	A Fish Tale, Dirt! The Movie
nm0417921	Tama Janowitz	A Fool and His Money, Slaves of New York
nm4972415	Kasper Juhl	A God Without a Universe
nm15595383	Choi Kwan-Young	A Hard Day
nm0004742	Maria Bello	A History of Violence, Coyote Ugly, Lights Out, The Cooler
nm2605642	Joany Kane	A Kiss for Christmas, Hollywood Dirt, The Christmas Card
nm0818700	Leonard Spigelgass	A Majority of One, Gypsy, I Was a Male War Bride, Mystery Street
nm0369856	Katharine Haviland-Taylor	A Man to Remember, One Man's Journey
nm15594435	Lizzy Poling	A Match Made at Christmas
nm0201903	Nandita Das	A Peck on the Cheek, Firaaq, Fire, Manto
nm2049067	Jo Mei	A Picture of You, Adult World
nm1127158	Vincent James Prendergast	A Slipping-Down Life
nm0622329	Maria Nation	A Street Cat Named Bob, Journey Back to Christmas, The Tenth Circle
nm0144018	Xan Cassavetes	A Woman Under the Influence, Alpha Dog, Kiss of the Damned, New York, I Love You
nm16245883	Dylan Blank	A Wrestling Christmas Miracle
nm1474815	Xavi Puebla	A puerta fría, Bienvenido a Farewell-Gutmann
nm10304153	James R. Stevens	Abandoned: Angelique's Isle
nm0049592	Marius Vaysberg	About Fate, May, Naughty Grandma, White Men Can't Jump
nm0074073	Waldemar Bergendahl	Adam & Eva, Agnes Cecilia - En sällsam historia, My Life as a Dog, The Slingshot
nm3406353	Nilesh Girkar	Agyaat
nm0322368	Francis Glebas	Aladdin, Hercules, Pocahontas, Treasure Planet
nm0710181	Nik Ranieri	Aladdin, Hercules, Pocahontas, Treasure Planet
nm0929349	Christopher Wilkinson	Ali, Nixon, Pawn Sacrifice
nm3638943	Michael McGinley	All My Friends Are Funeral Singers, Dig Two Graves, Gravity Was Everywhere Back Then
nm0202999	Mark David	American Cowslip, Texas Heart, The Comeback Trail, The Great Alaskan Race
nm0689724	Laurette Polmanss	An Impossible Love, Summertime, The Divide
nm0317414	Miep Gies	Anne Frank Remembered, Anne Frank: The Whole Story, The Attic: The Hiding of Anne Frank
nm1131497	Eddie Little	Another Day in Paradise
nm1659390	Jackie English	Antiviral, Becoming Burlesque
nm9773988	Gireesaaya	Arjun Reddy, Mahanati, Ranga Ranga Vaibhavanga
nm2297062	Michael Day	As They Made Us, The Kill Room
nm0320495	Giovanni Storti	Ask Me If I'm Happy, Il grande giorno, Three Men and a Leg
nm1341060	David Orenstein	Auschwitz: Inside the Nazi State
nm5979944	Matt Chambers	Avengers: Age of Ultron, Rogue One: A Star Wars Story, Solo: A Star Wars Story, The Bike Thief
nm3107039	Shawn Myrick	Awakening the Zodiac, Dakota, Room for Rent
nm0078704	Éric Besnard	Babylon A.D., The Sense of Wonder, Wrath of Man
nm0387976	Martín Hodara	Black Snow, La señal, Nine Queens
nm1996352	Matthew Michael Carnahan	21 Bridges, Dark Waters, Mosul, World War Z
nm0413945	G. Philip Jackson	2103: The Deadly Wake
nm7672954	Janis Abele	7 Miljardi Gadu Pirms Pasaules Gala
nm1104716	Nicholas Blincoe	8 Minutes Idle
nm1360317	Xabi Molia	8 fois debout, Down with the King
nm7030511	Disha Rindani	A Death in the Gunj
nm4741387	Dadá Coelho	A Esperança é a Última que Morre, Lucicreide Goes to Mars, O Candidato Honesto
nm0540789	Michael Maltese	A Hound for Trouble, Duck Dodgers in the 24½th Century, Son of the Mask
nm0058337	Stan Barstow	A Kind of Loving
nm0956766	Paul Zimmerman	A Modern Affair, Hairspray, Nothing in Common
nm0751080	Chuck Russell	A Nightmare on Elm Street 3: Dream Warriors, Eraser, The Mask, The Scorpion King
nm4736731	Juan Carlos Fanconi	A Place in the Caribbean
nm0001140	Philip K. Dick	A Scanner Darkly, Blade Runner, Minority Report, Total Recall
nm3391497	Will Fetters	A Star Is Born, Hustle, Remember Me, The Lucky One
nm0296296	Evgeniy Frolov	A Yakuza's Daughter Never Cries
nm0948000	Cem Yılmaz	A.R.O.G, G.O.R.A., Hunting Season, The Magician
nm2756464	Shagufta Rafique	Aashiqui 2, Awarapan, Mr. X
nm9111561	Aleksey Slushchev	Abigail, Beyond the Edge
nm0530756	Roger Gnoan M'Bala	Adanggaman, Au nom du Christ
nm0757507	Paul Salamoff	Adaptation., Batman & Robin, Dogma
nm2684234	Chris Rossi	Adolescence, Meadowland
nm1923991	Romina Paula	Again Once Again, The Student, Viola
nm0137747	Erasmo Carlos	Airplane Mode, Ocean's Twelve
nm0544999	Patrick Marber	Alan Partridge, Closer, Notes on a Scandal
nm1464577	Rob Lieber	Alexander and the Terrible, Horrible, No Good, Very Bad Day, Goosebumps 2: Haunted Halloween, Peter Rabbit
nm0001396	Mick Jagger	Alfie, Freejack, Performance
nm4951572	Daniela Persico	All About You
nm0747822	Marc Reid Rubel	Almost Summer, Big Business, Xanadu
nm2756844	Philip Bolzman	Alone Yet Not Alone, Beyond Acceptance, Beyond the Mask, Transformers: The Last Knight
nm1396574	Peter Scheerer	Alone in the Dark, BloodRayne, House of the Dead, In the Name of the King: A Dungeon Siege Tale
nm13212378	Nahid Rezaie	Along the Way
nm0059705	Rolf Basedow	Am I Beautiful?
nm5939217	Johnpaul George	Ambili, Guppy
nm0002020	Costa-Gavras	Amen., Missing, Z
nm0787452	Krishna Shah	American Drive-in, Hard Rock Zombies
nm1993607	Juan de Recacochea	American Visa
nm0703368	Giulio Questi	Amori pericolosi, Death Laid an Egg, Latin Lovers
nm1037485	Alison McDonald	An American Girl Story: Melody 1963 - Love Has to Win, An American Girl Story: Summer Camp, Friends for Life
nm0346550	Davis Guggenheim	An Inconvenient Truth, Training Day, Waiting for Superman
nm0899531	Chris Viscardi	Angus, Thongs and Perfect Snogging, The Tale of Despereaux
nm7106378	Emma Jane Unsworth	Animals
